date,day_of_week,occupancy_rate,guests,event_day
2024-11-22,Friday,0.53,57,False
2024-11-23,Saturday,0.61,62,False
2024-11-24,Sunday,0.5,47,False
2024-11-25,Monday,0.51,45,False
2024-11-26,Tuesday,0.56,59,False
2024-11-27,Wednesday,0.49,42,False
2024-11-28,Thursday,0.51,53,False
2024-11-29,Friday,0.51,42,False
2024-11-30,Saturday,0.61,54,False
2024-12-01,Sunday,0.93,100,False
2024-12-02,Monday,0.79,76,False
2024-12-03,Tuesday,0.79,77,False
2024-12-04,Wednesday,0.76,68,False
2024-12-05,Thursday,0.87,72,False
2024-12-06,Friday,0.89,92,False
2024-12-07,Saturday,0.83,73,False
2024-12-08,Sunday,0.91,89,False
2024-12-09,Monday,0.75,74,False
2024-12-10,Tuesday,0.79,84,False
2024-12-11,Wednesday,0.89,78,False
2024-12-12,Thursday,0.9,81,False
2024-12-13,Friday,0.82,70,False
2024-12-14,Saturday,0.86,93,False
2024-12-15,Sunday,0.92,93,False
2024-12-16,Monday,0.8,79,False
2024-12-17,Tuesday,0.87,88,False
2024-12-18,Wednesday,0.82,82,False
2024-12-19,Thursday,0.77,65,False
2024-12-20,Friday,0.87,95,False
2024-12-21,Saturday,0.86,75,False
2024-12-22,Sunday,0.94,80,False
2024-12-23,Monday,0.88,86,False
2024-12-24,Tuesday,0.89,82,False
2024-12-25,Wednesday,0.8,66,False
2024-12-26,Thursday,0.78,76,False
2024-12-27,Friday,0.86,79,False
2024-12-28,Saturday,0.83,70,False
2024-12-29,Sunday,0.94,89,False
2024-12-30,Monday,0.8,74,False
2024-12-31,Tuesday,0.84,88,False
2025-01-01,Wednesday,0.78,69,False
2025-01-02,Thursday,0.77,70,False
2025-01-03,Friday,0.85,72,False
2025-01-04,Saturday,0.84,77,False
2025-01-05,Sunday,0.93,96,False
2025-01-06,Monday,0.79,76,False
2025-01-07,Tuesday,0.86,80,False
2025-01-08,Wednesday,0.75,79,False
2025-01-09,Thursday,0.83,77,False
2025-01-10,Friday,0.88,83,False
2025-01-11,Saturday,0.89,79,False
2025-01-12,Sunday,0.86,85,False
2025-01-13,Monday,0.83,73,False
2025-01-14,Tuesday,0.82,85,False
2025-01-15,Wednesday,0.88,78,False
2025-01-16,Thursday,0.82,77,False
2025-01-17,Friday,0.78,74,False
2025-01-18,Saturday,0.92,97,False
2025-01-19,Sunday,0.81,67,False
2025-01-20,Monday,0.76,71,False
2025-01-21,Tuesday,0.8,80,False
2025-01-22,Wednesday,0.88,75,False
2025-01-23,Thursday,0.78,76,False
2025-01-24,Friday,0.84,82,False
2025-01-25,Saturday,0.8,84,False
2025-01-26,Sunday,0.81,74,False
2025-01-27,Monday,0.82,76,False
2025-01-28,Tuesday,0.89,94,False
2025-01-29,Wednesday,0.76,76,False
2025-01-30,Thursday,0.85,76,False
2025-01-31,Friday,0.75,72,False
2025-02-01,Saturday,0.54,53,False
2025-02-02,Sunday,0.57,57,False
2025-02-03,Monday,0.51,45,False
2025-02-04,Tuesday,0.49,45,False
2025-02-05,Wednesday,0.45,43,False
2025-02-06,Thursday,0.55,54,False
2025-02-07,Friday,0.58,59,False
2025-02-08,Saturday,0.54,54,False
2025-02-09,Sunday,0.46,47,False
2025-02-10,Monday,0.58,59,False
2025-02-11,Tuesday,0.54,50,False
2025-02-12,Wednesday,0.48,48,False
2025-02-13,Thursday,0.55,49,False
2025-02-14,Friday,0.56,55,False
2025-02-15,Saturday,0.54,45,False
2025-02-16,Sunday,0.64,67,False
2025-02-17,Monday,0.44,38,False
2025-02-18,Tuesday,0.6,53,False
2025-02-19,Wednesday,0.41,41,False
2025-02-20,Thursday,0.42,39,False
2025-02-21,Friday,0.42,45,False
2025-02-22,Saturday,0.54,56,False
2025-02-23,Sunday,0.61,59,False
2025-02-24,Monday,0.51,49,False
2025-02-25,Tuesday,0.52,43,False
2025-02-26,Wednesday,0.56,60,False
2025-02-27,Thursday,0.42,34,False
2025-02-28,Friday,0.46,41,False
2025-03-01,Saturday,0.48,42,False
2025-03-02,Sunday,0.49,46,False
2025-03-03,Monday,0.41,38,False
2025-03-04,Tuesday,0.59,63,False
2025-03-05,Wednesday,0.57,48,False
2025-03-06,Thursday,0.46,42,False
2025-03-07,Friday,0.43,44,False
2025-03-08,Saturday,0.47,42,False
2025-03-09,Sunday,0.46,37,False
2025-03-10,Monday,0.53,57,False
2025-03-11,Tuesday,0.56,54,False
2025-03-12,Wednesday,0.52,53,False
2025-03-13,Thursday,0.56,57,False
2025-03-14,Friday,0.51,49,False
2025-03-15,Saturday,0.62,51,False
2025-03-16,Sunday,0.52,50,False
2025-03-17,Monday,0.46,44,False
2025-03-18,Tuesday,0.53,56,False
2025-03-19,Wednesday,0.54,57,False
2025-03-20,Thursday,0.48,41,False
2025-03-21,Friday,0.49,43,False
2025-03-22,Saturday,0.47,40,False
2025-03-23,Sunday,0.64,62,False
2025-03-24,Monday,0.47,48,False
2025-03-25,Tuesday,0.57,53,False
2025-03-26,Wednesday,0.51,49,False
2025-03-27,Thursday,0.46,39,False
2025-03-28,Friday,0.42,41,False
2025-03-29,Saturday,0.59,54,False
2025-03-30,Sunday,0.58,61,False
2025-03-31,Monday,0.41,38,False
2025-04-01,Tuesday,0.58,50,False
2025-04-02,Wednesday,0.72,61,False
2025-04-03,Thursday,0.75,69,False
2025-04-04,Friday,0.6,64,False
2025-04-05,Saturday,0.61,58,False
2025-04-06,Sunday,0.85,91,False
2025-04-07,Monday,0.57,47,False
2025-04-08,Tuesday,0.8,76,False
2025-04-09,Wednesday,0.64,54,False
2025-04-10,Thursday,0.61,60,False
2025-04-11,Friday,0.75,81,False
2025-04-12,Saturday,0.77,68,False
2025-04-13,Sunday,0.82,75,False
2025-04-14,Monday,0.78,77,False
2025-04-15,Tuesday,0.67,73,False
2025-04-16,Wednesday,0.58,49,False
2025-04-17,Thursday,0.59,57,False
2025-04-18,Friday,0.61,66,False
2025-04-19,Saturday,0.63,62,False
2025-04-20,Sunday,0.76,80,False
2025-04-21,Monday,0.79,85,False
2025-04-22,Tuesday,0.62,60,False
2025-04-23,Wednesday,0.75,76,False
2025-04-24,Thursday,0.6,52,False
2025-04-25,Friday,0.66,54,False
2025-04-26,Saturday,0.73,62,False
2025-04-27,Sunday,0.79,76,False
2025-04-28,Monday,0.78,68,False
2025-04-29,Tuesday,0.74,71,False
2025-04-30,Wednesday,0.6,50,False
2025-05-01,Thursday,0.55,48,False
2025-05-02,Friday,0.78,80,False
2025-05-03,Saturday,0.84,85,False
2025-05-04,Sunday,0.61,65,False
2025-05-05,Monday,0.61,62,False
2025-05-06,Tuesday,0.58,54,False
2025-05-07,Wednesday,0.68,67,False
2025-05-08,Thursday,0.63,56,False
2025-05-09,Friday,0.61,55,False
2025-05-10,Saturday,0.71,73,False
2025-05-11,Sunday,0.85,80,False
2025-05-12,Monday,0.64,55,False
2025-05-13,Tuesday,0.77,65,False
2025-05-14,Wednesday,0.7,76,False
2025-05-15,Thursday,0.56,47,False
2025-05-16,Friday,0.65,55,False
2025-05-17,Saturday,0.72,66,False
2025-05-18,Sunday,0.75,67,False
2025-05-19,Monday,0.75,76,False
2025-05-20,Tuesday,0.73,77,False
2025-05-21,Wednesday,0.72,71,False
2025-05-22,Thursday,0.58,52,False
2025-05-23,Friday,0.63,66,False
2025-05-24,Saturday,0.74,62,False
2025-05-25,Sunday,0.67,64,False
2025-05-26,Monday,0.59,64,False
2025-05-27,Tuesday,0.56,50,False
2025-05-28,Wednesday,0.69,74,False
2025-05-29,Thursday,0.7,62,False
2025-05-30,Friday,0.72,69,False
2025-05-31,Saturday,0.77,80,False
2025-06-01,Sunday,0.97,82,False
2025-06-02,Monday,0.86,84,False
2025-06-03,Tuesday,0.94,100,False
2025-06-04,Wednesday,0.98,101,False
2025-06-05,Thursday,0.86,87,False
2025-06-06,Friday,0.92,90,False
2025-06-07,Saturday,1.0,86,False
2025-06-08,Sunday,1.0,99,False
2025-06-09,Monday,0.93,92,False
2025-06-10,Tuesday,0.92,75,False
2025-06-11,Wednesday,0.87,89,False
2025-06-12,Thursday,0.94,96,False
2025-06-13,Friday,0.9,88,False
2025-06-14,Saturday,1.0,94,True
2025-06-15,Sunday,1.0,105,True
2025-06-16,Monday,1.0,89,True
2025-06-17,Tuesday,0.89,74,False
2025-06-18,Wednesday,1.0,95,False
2025-06-19,Thursday,0.93,80,False
2025-06-20,Friday,0.92,86,False
2025-06-21,Saturday,0.92,92,False
2025-06-22,Sunday,0.9,77,False
2025-06-23,Monday,0.92,92,False
2025-06-24,Tuesday,0.89,78,False
2025-06-25,Wednesday,0.86,86,False
2025-06-26,Thursday,0.88,93,False
2025-06-27,Friday,0.96,101,False
2025-06-28,Saturday,1.0,103,False
2025-06-29,Sunday,0.91,90,False
2025-06-30,Monday,0.89,96,False
2025-07-01,Tuesday,0.96,93,False
2025-07-02,Wednesday,0.99,84,False
2025-07-03,Thursday,0.93,98,False
2025-07-04,Friday,0.86,83,False
2025-07-05,Saturday,1.0,102,False
2025-07-06,Sunday,1.0,108,False
2025-07-07,Monday,0.97,91,False
2025-07-08,Tuesday,0.89,93,False
2025-07-09,Wednesday,0.99,88,True
2025-07-10,Thursday,1.0,91,True
2025-07-11,Friday,1.0,87,True
2025-07-12,Saturday,0.99,107,False
2025-07-13,Sunday,0.96,92,False
2025-07-14,Monday,1.0,104,False
2025-07-15,Tuesday,0.88,85,False
2025-07-16,Wednesday,0.87,83,False
2025-07-17,Thursday,0.96,96,False
2025-07-18,Friday,0.98,96,False
2025-07-19,Saturday,0.94,90,False
2025-07-20,Sunday,1.0,86,False
2025-07-21,Monday,1.0,95,False
2025-07-22,Tuesday,0.86,87,False
2025-07-23,Wednesday,0.89,73,False
2025-07-24,Thursday,0.87,83,False
2025-07-25,Friday,0.99,92,False
2025-07-26,Saturday,0.99,86,False
2025-07-27,Sunday,1.0,100,False
2025-07-28,Monday,0.9,97,False
2025-07-29,Tuesday,0.97,104,False
2025-07-30,Wednesday,0.98,103,False
2025-07-31,Thursday,0.92,90,False
2025-08-01,Friday,0.89,84,False
2025-08-02,Saturday,0.92,93,False
2025-08-03,Sunday,1.0,87,False
2025-08-04,Monday,0.98,89,False
2025-08-05,Tuesday,0.98,89,False
