date,department,required_staff,day_of_week
2024-10-18,Front Desk,4,Friday
2024-10-18,Housekeeping,5,Friday
2024-10-18,Kitchen,4,Friday
2024-10-18,Security,4,Friday
2024-10-18,Maintenance,5,Friday
2024-10-19,Front Desk,6,Saturday
2024-10-19,Housekeeping,6,Saturday
2024-10-19,Kitchen,7,Saturday
2024-10-19,Security,6,Saturday
2024-10-19,Maintenance,7,Saturday
2024-10-20,Front Desk,6,Sunday
2024-10-20,Housekeeping,7,Sunday
2024-10-20,Kitchen,7,Sunday
2024-10-20,Security,6,Sunday
2024-10-20,Maintenance,6,Sunday
2024-10-21,Front Desk,4,Monday
2024-10-21,Housekeeping,3,Monday
2024-10-21,Kitchen,3,Monday
2024-10-21,Security,3,Monday
2024-10-21,Maintenance,5,Monday
2024-10-22,Front Desk,4,Tuesday
2024-10-22,Housekeeping,5,Tuesday
2024-10-22,Kitchen,3,Tuesday
2024-10-22,Security,4,Tuesday
2024-10-22,Maintenance,5,Tuesday
2024-10-23,Front Desk,4,Wednesday
2024-10-23,Housekeeping,5,Wednesday
2024-10-23,Kitchen,4,Wednesday
2024-10-23,Security,3,Wednesday
2024-10-23,Maintenance,3,Wednesday
2024-10-24,Front Desk,4,Thursday
2024-10-24,Housekeeping,5,Thursday
2024-10-24,Kitchen,3,Thursday
2024-10-24,Security,3,Thursday
2024-10-24,Maintenance,3,Thursday
2024-10-25,Front Desk,4,Friday
2024-10-25,Housekeeping,4,Friday
2024-10-25,Kitchen,5,Friday
2024-10-25,Security,5,Friday
2024-10-25,Maintenance,5,Friday
2024-10-26,Front Desk,6,Saturday
2024-10-26,Housekeeping,6,Saturday
2024-10-26,Kitchen,7,Saturday
2024-10-26,Security,7,Saturday
2024-10-26,Maintenance,6,Saturday
2024-10-27,Front Desk,7,Sunday
2024-10-27,Housekeeping,5,Sunday
2024-10-27,Kitchen,6,Sunday
2024-10-27,Security,7,Sunday
2024-10-27,Maintenance,6,Sunday
2024-10-28,Front Desk,3,Monday
2024-10-28,Housekeeping,4,Monday
2024-10-28,Kitchen,4,Monday
2024-10-28,Security,4,Monday
2024-10-28,Maintenance,4,Monday
2024-10-29,Front Desk,3,Tuesday
2024-10-29,Housekeeping,4,Tuesday
2024-10-29,Kitchen,4,Tuesday
2024-10-29,Security,5,Tuesday
2024-10-29,Maintenance,4,Tuesday
2024-10-30,Front Desk,5,Wednesday
2024-10-30,Housekeeping,3,Wednesday
2024-10-30,Kitchen,3,Wednesday
2024-10-30,Security,3,Wednesday
2024-10-30,Maintenance,3,Wednesday
2024-10-31,Front Desk,5,Thursday
2024-10-31,Housekeeping,4,Thursday
2024-10-31,Kitchen,3,Thursday
2024-10-31,Security,4,Thursday
2024-10-31,Maintenance,5,Thursday
2024-11-01,Front Desk,5,Friday
2024-11-01,Housekeeping,5,Friday
2024-11-01,Kitchen,3,Friday
2024-11-01,Security,4,Friday
2024-11-01,Maintenance,4,Friday
2024-11-02,Front Desk,6,Saturday
2024-11-02,Housekeeping,7,Saturday
2024-11-02,Kitchen,5,Saturday
2024-11-02,Security,7,Saturday
2024-11-02,Maintenance,7,Saturday
2024-11-03,Front Desk,6,Sunday
2024-11-03,Housekeeping,7,Sunday
2024-11-03,Kitchen,6,Sunday
2024-11-03,Security,5,Sunday
2024-11-03,Maintenance,6,Sunday
2024-11-04,Front Desk,3,Monday
2024-11-04,Housekeeping,4,Monday
2024-11-04,Kitchen,5,Monday
2024-11-04,Security,5,Monday
2024-11-04,Maintenance,3,Monday
2024-11-05,Front Desk,3,Tuesday
2024-11-05,Housekeeping,3,Tuesday
2024-11-05,Kitchen,4,Tuesday
2024-11-05,Security,4,Tuesday
2024-11-05,Maintenance,3,Tuesday
2024-11-06,Front Desk,5,Wednesday
2024-11-06,Housekeeping,4,Wednesday
2024-11-06,Kitchen,4,Wednesday
2024-11-06,Security,4,Wednesday
2024-11-06,Maintenance,3,Wednesday
2024-11-07,Front Desk,3,Thursday
2024-11-07,Housekeeping,3,Thursday
2024-11-07,Kitchen,3,Thursday
2024-11-07,Security,3,Thursday
2024-11-07,Maintenance,5,Thursday
2024-11-08,Front Desk,5,Friday
2024-11-08,Housekeeping,3,Friday
2024-11-08,Kitchen,4,Friday
2024-11-08,Security,3,Friday
2024-11-08,Maintenance,5,Friday
2024-11-09,Front Desk,7,Saturday
2024-11-09,Housekeeping,6,Saturday
2024-11-09,Kitchen,7,Saturday
2024-11-09,Security,5,Saturday
2024-11-09,Maintenance,6,Saturday
2024-11-10,Front Desk,5,Sunday
2024-11-10,Housekeeping,5,Sunday
2024-11-10,Kitchen,6,Sunday
2024-11-10,Security,5,Sunday
2024-11-10,Maintenance,7,Sunday
2024-11-11,Front Desk,3,Monday
2024-11-11,Housekeeping,4,Monday
2024-11-11,Kitchen,4,Monday
2024-11-11,Security,4,Monday
2024-11-11,Maintenance,3,Monday
2024-11-12,Front Desk,4,Tuesday
2024-11-12,Housekeeping,4,Tuesday
2024-11-12,Kitchen,3,Tuesday
2024-11-12,Security,5,Tuesday
2024-11-12,Maintenance,3,Tuesday
2024-11-13,Front Desk,4,Wednesday
2024-11-13,Housekeeping,4,Wednesday
2024-11-13,Kitchen,3,Wednesday
2024-11-13,Security,5,Wednesday
2024-11-13,Maintenance,4,Wednesday
2024-11-14,Front Desk,4,Thursday
2024-11-14,Housekeeping,4,Thursday
2024-11-14,Kitchen,3,Thursday
2024-11-14,Security,4,Thursday
2024-11-14,Maintenance,5,Thursday
2024-11-15,Front Desk,4,Friday
2024-11-15,Housekeeping,4,Friday
2024-11-15,Kitchen,5,Friday
2024-11-15,Security,4,Friday
2024-11-15,Maintenance,3,Friday
2024-11-16,Front Desk,5,Saturday
2024-11-16,Housekeeping,5,Saturday
2024-11-16,Kitchen,7,Saturday
2024-11-16,Security,6,Saturday
2024-11-16,Maintenance,5,Saturday
2024-11-17,Front Desk,7,Sunday
2024-11-17,Housekeeping,6,Sunday
2024-11-17,Kitchen,7,Sunday
2024-11-17,Security,5,Sunday
2024-11-17,Maintenance,5,Sunday
2024-11-18,Front Desk,3,Monday
2024-11-18,Housekeeping,5,Monday
2024-11-18,Kitchen,5,Monday
2024-11-18,Security,3,Monday
2024-11-18,Maintenance,5,Monday
2024-11-19,Front Desk,3,Tuesday
2024-11-19,Housekeeping,3,Tuesday
2024-11-19,Kitchen,4,Tuesday
2024-11-19,Security,5,Tuesday
2024-11-19,Maintenance,3,Tuesday
2024-11-20,Front Desk,3,Wednesday
2024-11-20,Housekeeping,5,Wednesday
2024-11-20,Kitchen,4,Wednesday
2024-11-20,Security,4,Wednesday
2024-11-20,Maintenance,3,Wednesday
2024-11-21,Front Desk,5,Thursday
2024-11-21,Housekeeping,4,Thursday
2024-11-21,Kitchen,5,Thursday
2024-11-21,Security,5,Thursday
2024-11-21,Maintenance,3,Thursday
2024-11-22,Front Desk,4,Friday
2024-11-22,Housekeeping,3,Friday
2024-11-22,Kitchen,4,Friday
2024-11-22,Security,4,Friday
2024-11-22,Maintenance,4,Friday
2024-11-23,Front Desk,6,Saturday
2024-11-23,Housekeeping,6,Saturday
2024-11-23,Kitchen,7,Saturday
2024-11-23,Security,5,Saturday
2024-11-23,Maintenance,7,Saturday
2024-11-24,Front Desk,6,Sunday
2024-11-24,Housekeeping,5,Sunday
2024-11-24,Kitchen,6,Sunday
2024-11-24,Security,5,Sunday
2024-11-24,Maintenance,7,Sunday
2024-11-25,Front Desk,3,Monday
2024-11-25,Housekeeping,3,Monday
2024-11-25,Kitchen,3,Monday
2024-11-25,Security,3,Monday
2024-11-25,Maintenance,3,Monday
2024-11-26,Front Desk,4,Tuesday
2024-11-26,Housekeeping,3,Tuesday
2024-11-26,Kitchen,3,Tuesday
2024-11-26,Security,5,Tuesday
2024-11-26,Maintenance,3,Tuesday
2024-11-27,Front Desk,5,Wednesday
2024-11-27,Housekeeping,4,Wednesday
2024-11-27,Kitchen,3,Wednesday
2024-11-27,Security,5,Wednesday
2024-11-27,Maintenance,5,Wednesday
2024-11-28,Front Desk,4,Thursday
2024-11-28,Housekeeping,3,Thursday
2024-11-28,Kitchen,3,Thursday
2024-11-28,Security,5,Thursday
2024-11-28,Maintenance,3,Thursday
2024-11-29,Front Desk,5,Friday
2024-11-29,Housekeeping,3,Friday
2024-11-29,Kitchen,5,Friday
2024-11-29,Security,3,Friday
2024-11-29,Maintenance,4,Friday
2024-11-30,Front Desk,5,Saturday
2024-11-30,Housekeeping,5,Saturday
2024-11-30,Kitchen,6,Saturday
2024-11-30,Security,5,Saturday
2024-11-30,Maintenance,6,Saturday
2024-12-01,Front Desk,5,Sunday
2024-12-01,Housekeeping,7,Sunday
2024-12-01,Kitchen,7,Sunday
2024-12-01,Security,5,Sunday
2024-12-01,Maintenance,5,Sunday
2024-12-02,Front Desk,3,Monday
2024-12-02,Housekeeping,5,Monday
2024-12-02,Kitchen,3,Monday
2024-12-02,Security,5,Monday
2024-12-02,Maintenance,4,Monday
2024-12-03,Front Desk,5,Tuesday
2024-12-03,Housekeeping,5,Tuesday
2024-12-03,Kitchen,4,Tuesday
2024-12-03,Security,5,Tuesday
2024-12-03,Maintenance,3,Tuesday
2024-12-04,Front Desk,3,Wednesday
2024-12-04,Housekeeping,5,Wednesday
2024-12-04,Kitchen,3,Wednesday
2024-12-04,Security,5,Wednesday
2024-12-04,Maintenance,3,Wednesday
2024-12-05,Front Desk,3,Thursday
2024-12-05,Housekeeping,5,Thursday
2024-12-05,Kitchen,3,Thursday
2024-12-05,Security,5,Thursday
2024-12-05,Maintenance,3,Thursday
2024-12-06,Front Desk,3,Friday
2024-12-06,Housekeeping,4,Friday
2024-12-06,Kitchen,4,Friday
2024-12-06,Security,5,Friday
2024-12-06,Maintenance,4,Friday
2024-12-07,Front Desk,7,Saturday
2024-12-07,Housekeeping,6,Saturday
2024-12-07,Kitchen,5,Saturday
2024-12-07,Security,7,Saturday
2024-12-07,Maintenance,7,Saturday
2024-12-08,Front Desk,5,Sunday
2024-12-08,Housekeeping,7,Sunday
2024-12-08,Kitchen,7,Sunday
2024-12-08,Security,6,Sunday
2024-12-08,Maintenance,7,Sunday
2024-12-09,Front Desk,3,Monday
2024-12-09,Housekeeping,4,Monday
2024-12-09,Kitchen,4,Monday
2024-12-09,Security,3,Monday
2024-12-09,Maintenance,3,Monday
2024-12-10,Front Desk,4,Tuesday
2024-12-10,Housekeeping,5,Tuesday
2024-12-10,Kitchen,4,Tuesday
2024-12-10,Security,3,Tuesday
2024-12-10,Maintenance,4,Tuesday
2024-12-11,Front Desk,3,Wednesday
2024-12-11,Housekeeping,4,Wednesday
2024-12-11,Kitchen,5,Wednesday
2024-12-11,Security,4,Wednesday
2024-12-11,Maintenance,4,Wednesday
2024-12-12,Front Desk,3,Thursday
2024-12-12,Housekeeping,3,Thursday
2024-12-12,Kitchen,3,Thursday
2024-12-12,Security,4,Thursday
2024-12-12,Maintenance,5,Thursday
2024-12-13,Front Desk,3,Friday
2024-12-13,Housekeeping,3,Friday
2024-12-13,Kitchen,4,Friday
2024-12-13,Security,3,Friday
2024-12-13,Maintenance,5,Friday
2024-12-14,Front Desk,7,Saturday
2024-12-14,Housekeeping,5,Saturday
2024-12-14,Kitchen,5,Saturday
2024-12-14,Security,6,Saturday
2024-12-14,Maintenance,7,Saturday
2024-12-15,Front Desk,7,Sunday
2024-12-15,Housekeeping,5,Sunday
2024-12-15,Kitchen,6,Sunday
2024-12-15,Security,7,Sunday
2024-12-15,Maintenance,7,Sunday
2024-12-16,Front Desk,4,Monday
2024-12-16,Housekeeping,4,Monday
2024-12-16,Kitchen,5,Monday
2024-12-16,Security,5,Monday
2024-12-16,Maintenance,4,Monday
2024-12-17,Front Desk,5,Tuesday
2024-12-17,Housekeeping,3,Tuesday
2024-12-17,Kitchen,3,Tuesday
2024-12-17,Security,4,Tuesday
2024-12-17,Maintenance,4,Tuesday
2024-12-18,Front Desk,4,Wednesday
2024-12-18,Housekeeping,3,Wednesday
2024-12-18,Kitchen,5,Wednesday
2024-12-18,Security,3,Wednesday
2024-12-18,Maintenance,5,Wednesday
2024-12-19,Front Desk,3,Thursday
2024-12-19,Housekeeping,5,Thursday
2024-12-19,Kitchen,3,Thursday
2024-12-19,Security,4,Thursday
2024-12-19,Maintenance,3,Thursday
2024-12-20,Front Desk,5,Friday
2024-12-20,Housekeeping,3,Friday
2024-12-20,Kitchen,3,Friday
2024-12-20,Security,3,Friday
2024-12-20,Maintenance,4,Friday
2024-12-21,Front Desk,5,Saturday
2024-12-21,Housekeeping,6,Saturday
2024-12-21,Kitchen,6,Saturday
2024-12-21,Security,5,Saturday
2024-12-21,Maintenance,5,Saturday
2024-12-22,Front Desk,5,Sunday
2024-12-22,Housekeeping,7,Sunday
2024-12-22,Kitchen,5,Sunday
2024-12-22,Security,6,Sunday
2024-12-22,Maintenance,5,Sunday
2024-12-23,Front Desk,5,Monday
2024-12-23,Housekeeping,3,Monday
2024-12-23,Kitchen,5,Monday
2024-12-23,Security,5,Monday
2024-12-23,Maintenance,3,Monday
2024-12-24,Front Desk,4,Tuesday
2024-12-24,Housekeeping,5,Tuesday
2024-12-24,Kitchen,3,Tuesday
2024-12-24,Security,3,Tuesday
2024-12-24,Maintenance,4,Tuesday
2024-12-25,Front Desk,5,Wednesday
2024-12-25,Housekeeping,5,Wednesday
2024-12-25,Kitchen,3,Wednesday
2024-12-25,Security,3,Wednesday
2024-12-25,Maintenance,4,Wednesday
2024-12-26,Front Desk,4,Thursday
2024-12-26,Housekeeping,5,Thursday
2024-12-26,Kitchen,5,Thursday
2024-12-26,Security,3,Thursday
2024-12-26,Maintenance,5,Thursday
2024-12-27,Front Desk,4,Friday
2024-12-27,Housekeeping,4,Friday
